"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-03-17","   90","   90",,," 1912","0.07",,"0.0","0.0",,"64","40",,"  150",,,"  135",,"23.0",,,"33.3","    1",,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-03-18","   50","   50",,," 1312","0.00",,"0.0","0.0",,"68","53",,"  320",,,"  315",,"28.0",,,"36.7",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-03-19","    0","    0",,," 1524","0.00",,"0.0","0.0",,"79","43",,"  170",,,"  180",,"19.9",,,"23.0",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-03-20","    0","    0",,," 1330","0.00",,"0.0","0.0",,"80","52",,"  180",,,"  180",,"25.1",,,"34.4",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-03-21","   70","   90",,," 0024","0.00",,"0.0","0.0",,"79","60",,"  190",,,"  180",,"19.9",,,"26.4",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-03-22","   90","  100",,," 0200","0.00",,"0.0","0.0",,"78","55",,"  170",,,"  315",,"15.0",,,"26.4",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-03-23","   60","   60",,," 1306","0.00",,"0.0","0.0",,"82","58",,"  180",,,"  270",,"21.0",,,"34.4",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-03-24","    0","    0",,," 1536","0.00",,"0.0","0.0",,"70","48",,"  290",,,"  270",,"17.9",,,"28.9",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-03-25","   20","   30",,," 1654","0.00",,"0.0","0.0",,"72","43",,"   70",,,"   90",,"14.1",,,"19.5",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-03-26","   70","   90",,," 1042","0.31",,"0.0","0.0",,"67","52",,"  140",,,"  135",,"38.0",,,"47.2","    1",,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-03-27","   80","   80",,," 0642","0.46",,"0.0","0.0",,"75","58",,"  180",,,"  180",,"25.1",,,"40.3","    1",,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-03-28","   90","  100",,," 1218","0.12",,"0.0","0.0",,"63","39",,"  340",,,"  360",,"23.0",,,"33.3","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-03-29","   90","  100",,," 0536","0.11",,"0.0","0.0",,"42","34",,"  350",,,"  360",,"23.0",,,"34.4",,,,,,,,,,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-03-30","   40","   40",,," 1224","0.00",,"0.0","0.0",,"57","33",,"  300",,,"  315",,"14.1",,,"19.5",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-03-31","   40","   50",,," 1324","0.00",,"0.0","0.0",,"66","39",,"  180",,,"  180",,"17.9",,,"33.3",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-04-01","   20","   10",,," 1430","0.00",,"0.0","0.0",,"79","47",,"  150",,,"  180",,"17.9",,,"26.4","    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-04-02","   30","   40",,," 1618","0.00",,"0.0","0.0",,"63","39",,"  330",,,"  315",,"25.9",,,"34.4",,,,,,,,"    1",,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-04-03","   40","   50",,," 0736","0.00",,"0.0","0.0",,"58","31",,"   30",,,"   45",,"10.1",,,"15.0",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-04-04","   80","   90",,," 1636","0.00",,"0.0","0.0",,"66","40",,"  160",,,"  135",,"17.9",,,"24.2",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-04-05","  100","  100",,," 1306","0.00",,"0.0","0.0",,"65","51",,"  130",,,"  135",,"15.0",,,"18.3",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-04-06","  100","  100",,," 0954","0.09",,"0.0","0.0",,"65","60",,"  120",,,"  135",,"14.1",,,"18.3",,,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-04-07","  100","  100",,," 2218","2.38",,"0.0","0.0",,"64","53",,"  330",,,"  315",,"23.0",,,"38.0","    1",,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-04-08","   40","   30",,," 0006","0.14",,"0.0","0.0",,"74","56",,"   90",,,"   90",,"13.0",,,"24.2","    1",,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-04-09","   90","   90",,," 1212","0.00",,"0.0","0.0",,"76","57",,"   20",,,"  360",,"10.1",,,"17.2","    1",,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-04-10","   90","  100",,," 1448","0.14",,"0.0","0.0",,"63","53",,"   30",,,"   45",,"17.0",,,"23.0",,,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-04-11","   30","   20",,," 0718","0.00",,"0.0","0.0",,"64","50",,"   30",,,"   45",,"19.9",,,"24.2",,,,,,,,,,,,,,,"    1",,,,,,
